제목,글,그림,출판사,정가,판매가,URL,책소개
[빅북] 호랑이 형님,김일옥,최정인,하루놀,"65,000원 ","61,750",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=234519921,"어머니를 모시고 사는 가난한 나무꾼은 오늘도 열심히 나무를 해다 나르고 있었다. 나무를 팔아 어머니께 대접할 양식을 구하기 위해서이다. 그때 뒤에서 느껴지는 이상한 기척에 뒤를 돌아보니, 커다란 호랑이가 나..."
,,,,,,,
호랑이가 왜 화났지?,신정민,백은희,꿈동산,"4,500원 ","4,050",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=266497,호랑이가 왜 화났지?
긴꼬리 호랑이,도미야스 요코,아베 히로시,양선하,"9,500원 ","8,550",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=5939934,하얀 도화지 속에서 나타난 긴꼬리 호랑이와 꼬마 마나부의 아주 특별한 모험 이야기. 마나부는 아빠에게 호랑이를 그려달라고 조른다. 아빠가 그려 준 호랑이는 꼬리가 길어서 뱀처럼 꼬불꼬불한 호랑이였다. 그런...
,,,,,,,
호랑이와 곶감,정해왕,전병준,곧은나무(삼성출판사),"5,800원 ","5,220",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=582181,우리 조상들이 가장 두려워하면서도 가장 좋아한 짐승인 호랑이. 그만큼 우리 옛이야기에 자주 등장하는 호랑이 이야기 중 대표격인 호랑이와 곶감을 유아에게 걸맞게 재구성했다.
,,,,,,,
,,,,,,,
피자대장 호랑이,데이비드 베드퍼드,얀 루이스,송정애,"15,000원 ","13,500",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=2108797,"잘못된 점은 고쳐야 되는데, 어떤 방법이 가장 효과적일까? &lt;피자대장 호랑이&gt;는 피자만을 좋아하고, 다른 음식은 먹지 않는 호랑이의 이야기를 통해 아이들 스스로 자신의 잘못을 깨닫고 조금씩 고쳐나가는 ..."
호랑이는 어디로 갔을까?,고스게 마사오,호리카와 마코토,조혜민,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=21737897,"상상 그림책 학교 시리즈 4권. 2011년 제21회 겐부치그림책마을대상 비바카라스 상 수상작이다. 빌 게이츠, 이건희 회장도 다녀간 세상에서 가장 가고 싶은 아사히야마 동물원과 그 명예 원장이 어린이들에게 전하는..."
에밀리는 화가 나면 호랑이로 변해요,미리엄 래티머,김동규,뜨인돌어린이,"9,500원 ","8,550",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=4263086,"화가 나면 호랑이처럼 변하는 에밀리를 통해 감정 조절에 대해 배울 수 있는 그림책. 감정이나 충동을 조절하고, 다른 사람들과의 생각에도 공감하고, 사회에서 필요로 하는 도덕적인 문제에 대해서도 익힐 수 있도..."
호랑이와 곶감,애플비북스 편집부,박수정,애플비,"15,000원 ","13,500",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=60572305,"버튼을 눌러 언제 어디서든지 이야기를 들을 수 있는 책이다. 그림을 보며 실감 나는 소리로 이야기를 듣는 동안, 상상력과 집중력이 쑥쑥 자라나게 된다. 아이 혼자서도 책장을 넘기며 버튼을 눌러 이야기를 읽을 ..."
